Name,Predominant Degree,Highest Degree,Control,Region,Locale,Admission Rate,Undergrad Population,Average Cost,ACT Median,SAT Average,% White,% Black,% Hispanic,% Asian,% American Indian,% Pacific Islander,% Biracial,% Nonresident Aliens,% Part-time Undergrads,Average Cost,Expenditure Per Student,Average Faculty Salary,% Full-time Faculty,% Undergrads with Pell Grant,Completion Rate 150% time,Retention Rate (First Time Students),% Undergrads 25+ y.o.,3 Year Default Rate,Median Debt,Median Debt on Graduation,Median Debt on Withdrawal,% Federal Loans,% Pell Grant Recipients,Average Age of Entry,Average Family Income,Median Family Income,Poverty Rate,Number of Unemployed 8 years after entry,Number of Employed 8 years after entry,Mean Earnings 8 years After Entry,Median Earnings 8 years After Entry
Florida Gulf Coast University,3,4,Public,Southeast,Large Suburb,0.6579,12795,18097,22,1024,0.6706,0.0717,0.1873,0.0167,0.0023,0.001,0.0229,0.0161,0.2081,18097,6606,7382,0.6817,0.3467,0.4416,0.7663,0.1352,6.3,11625,18500,8250,0.839999974,0.529999971,22.43000031,62264.97,46981,6.730000019,138,1313,39300,37600
Northern Kentucky University,3,4,Public,Southeast,Large Suburb,0.467,11976,14603,22,1024,0.8201,0.0688,0.0244,0.0094,0.0032,0.0013,0.0169,0.0382,0.1912,14603,7303,6780,0.9887,0.3368,0.3792,0.6744,0.2428,9.9,15000,24458.5,9500,0.910000026,0.529999971,22.48999977,62838.79,53630,6.909999847,321,3048,35700,32800
East Tennessee State University,3,4,Public,Southeast,Small City,0.8649,11399,22485,22,1026,0.8495,0.0601,0.0199,0.0118,0.0033,0.0009,0.0242,0.0229,0.1506,22485,12462,6711,0.6949,0.4367,0.4129,0.6619,0.2441,12.4,14250,20259,10500,0.860000014,0.649999976,23.03000069,49111.05,36276,10.48999977,399,2596,35200,30900
Central Michigan University,3,4,Public,Great Lakes,Distant Town,0.6304,20070,21523,22,1029,0.7971,0.0744,0.0299,0.0093,0.0069,0.0005,0.0188,0.0135,0.1228,21523,8249,8603,0.6836,0.349,0.5929,0.7671,0.1325,6.2,21721.5,27000,12000,0.970000029,0.50999999,21,77212.89,70233.5,6.139999866,401,5239,39200,36100
University of North Carolina at Greensboro,3,4,Public,Southeast,Large City,0.6002,14138,17362,23,1029,0.5752,0.2546,0.063,0.0431,0.0037,0.0011,0.0387,0.0174,0.1265,17362,8803,7926,0.821,0.4432,0.5541,0.7386,0.1957,7.5,16000,22500,9500,0.930000007,0.589999974,21.55999947,62041.39,50195,7.539999962,319,3143,35300,33300
San Jose State University,3,4,Public,Far West,Large City,0.6347,25723,21160,22,1030,0.2254,0.0351,0.2383,0.3561,0.0014,0.0079,0.0522,0.0453,0.1925,21160,8070,9155,0.4021,0.3955,0.4809,0.8782,0.1993,4.8,14000,16251,11000,0.689999998,0.74000001,22.54999924,43366.3,27853.5,6.980000019,575,4353,52000,48100
Washington State University,3,4,Public,Far West,Distant Town,0.8208,22825,26292,22,1030,0.6648,0.0331,0.1065,0.0526,0.0063,0.0042,0.0686,0.0426,0.1126,26292,9130,8547,0.7903,0.3323,0.6548,0.7977,0.1693,4,15736,20977,11250,0.939999998,0.519999981,22.65999985,70810.85,58238.5,7.730000019,599,5682,48200,43700
University of Wisconsin-Milwaukee,3,4,Public,Great Lakes,Large City,0.8608,21747,21203,22,1030,0.717,0.0822,0.0759,0.0596,0.0043,0.0008,0.0314,0.0271,0.1399,21203,8301,8037,0.9599,0.3567,0.4141,0.7007,0.2233,6.1,17459,25107.5,11000,0.959999979,0.449999988,21.37999916,73393.86,66757,6.309999943,549,6040,40900,38100
Western Michigan University,3,4,Public,Great Lakes,Small City,0.8285,18755,22483,22,1030,0.7483,0.1122,0.0477,0.014,0.0042,0.0014,0.031,0.0293,0.1565,22483,9354,9016,0.623,0.3969,0.5491,0.7371,0.1348,7.7,20875,27000,12000,0.970000029,0.469999999,20.37000084,81449.44,74325,5.599999905,473,6209,41600,37900
University of Central Oklahoma,3,4,Public,Southwest,Large Suburb,0.8398,15119,16684,22,1030,0.5982,0.0888,0.074,0.0317,0.0405,0.0019,0.0696,0.0732,0.2814,16684,6560,6382,0.9819,0.3496,0.3562,0.6511,0.264,10.5,12500,22250,9001,0.850000024,0.660000026,22.65999985,49363.75,36756.5,9.350000381,461,3746,39600,35500
Minnesota State University-Mankato,3,4,Public,Great Plains,Small City,0.6555,12542,17578,22,1030,0.7886,0.048,0.0344,0.0323,0.0023,0.0004,0.025,0.0504,0.1017,17578,5706,8155,0.606,0.2906,0.4904,0.7363,0.1184,4.7,15116,23029,10490,0.959999979,0.439999998,20.79999924,76286.68,71852,4.75,216,4019,41000,38100
Southeastern Louisiana University,3,4,Public,Southeast,Small City,0.448,11704,15729,22,1030,0.6875,0.1646,0.0573,0.0069,0.0029,0.0012,0.0555,0.0161,0.1472,15729,5391,6335,0.7988,0.3334,0.3582,0.6328,0.1372,8.7,11670,21465,8258.5,0.839999974,0.709999979,21.56999969,46591.28,32109.5,12.90999985,527,3757,36200,33400
Cleveland State University,3,4,Public,Great Lakes,Large City,0.6287,11484,22041,22,1030,0.6276,0.1919,0.0489,0.0245,0.0021,0.0011,0.0269,0.0477,0.2261,22041,8213,8624,1,0.4344,0.3198,0.6721,0.3078,9,16500,24000,11888,0.930000007,0.610000014,24.70999908,43936.8,31001,9.920000076,446,3143,39900,36900
University of Wisconsin-Oshkosh,3,4,Public,Great Lakes,Small City,0.8134,10633,16935,22,1030,0.8791,0.0198,0.0293,0.0371,0.0089,0.0005,0.018,0.0064,0.1402,16935,7138,6793,0.9882,0.2762,0.5351,0.7522,0.1481,4.5,16852,23868,9489,0.959999979,0.439999998,21.45999908,72876.79,69462,4.150000095,142,2972,39200,37500
University of Wisconsin-Whitewater,3,4,Public,Great Lakes,Distant Town,0.8468,10438,16107,22,1030,0.8585,0.0478,0.0414,0.0166,0.0019,0.0005,0.0243,0.0078,0.0616,16107,5681,7073,0.987,0.2963,0.5483,0.7694,0.0885,7.6,18681,25250,9750,0.959999979,0.439999998,20.79000092,76990.02,73639,4.78000021,184,2760,39800,38200
University of Northern Iowa,3,4,Public,Great Plains,Small City,0.8331,10170,19233,22,1030,0.8705,0.0268,0.0276,0.0081,0.0018,0.0005,0.0165,0.0326,0.0857,19233,9117,8062,0.7542,0.2704,0.6649,0.83,0.0923,4.8,18500,22148,12000,0.980000019,0.439999998,20.81999969,74741.68,70699,5.809999943,230,4062,42100,38700
Northern Michigan University,3,4,Public,Great Lakes,Remote Town,0.7313,7959,18466,22,1030,0.8529,0.0237,0.0281,0.0055,0.02,0.0008,0.0188,0.0094,0.0785,18466,6506,7442,0.6967,0.3848,0.4829,0.722,0.1619,12.1,14601,22319,8250,0.949999988,0.569999993,21.34000015,65244.05,57707,6.380000114,323,2698,34100,30800
University of Memphis,3,4,Public,Southeast,Large City,0.6841,16178,20899,22,1031,0.4988,0.3936,0.0343,0.0265,0.0025,0.0011,0.0302,0.0083,0.2409,20899,8742,8304,0.6415,0.471,0.432,0.7583,0.2741,12.4,18938,26393.5,13774.5,0.879999995,0.709999979,23.29999924,45004.14,29727,11.98999977,455,3442,38900,33700
University of Toledo,3,4,Public,Great Lakes,Large City,0.9073,15440,21263,22,1031,0.6947,0.139,0.0447,0.0233,0.0021,0.0008,0.025,0.0443,0.1615,21263,12173,8426,0.7192,0.3792,0.4543,0.6805,0.1591,13.5,14500,24994,9500,0.949999988,0.540000021,21.43000031,65254.02,57163,7.769999981,498,4974,43600,37600
Southern Illinois University-Carbondale,3,4,Public,Great Lakes,Small City,0.7887,13220,24234,22,1032,0.6435,0.2026,0.0709,0.0179,0.0025,0.0011,0.0285,0.0316,0.1118,24234,16344,7208,0.8605,0.4326,0.4337,0.6044,0.194,9.3,15245,22500,10500,0.930000007,0.569999993,22.17000008,59660.34,47485,8.949999809,512,5562,41800,37400
Valdosta State University,3,4,Public,Southeast,Small City,0.5522,9634,20958,22,1033,0.5301,0.3567,0.042,0.0099,0.0023,0.0017,0.0306,0.0225,0.1437,20958,5873,5998,0.9671,0.4592,0.4017,0.6885,0.15,10.2,16000,25245,11000,0.910000026,0.569999993,21.71999931,63517.53,51351,10.73999977,293,2558,36300,34300
Brigham Young University-Idaho,3,3,Private,Rocky Mountains,Distant Town,0.9963,20208,10438,23,1036,0.8319,0.0055,0.0323,0.0096,0.0033,0.004,0.0558,0.0412,0.2889,10438,4198,8206,0.4352,0.3881,0.6011,0.6755,0.371,2.9,7725,11966.5,6250,0.680000007,0.870000005,21.27000046,48558.75,31581,7.940000057,1481,3339,39300,33800
University of New Mexico-Main Campus,3,4,Public,Southwest,Large City,0.6458,20847,16822,22,1038,0.37,0.0267,0.4482,0.0292,0.0602,0.0019,0.0328,0.01,0.1929,16822,11288,8938,0.6987,0.3846,0.4828,0.7769,0.2616,13,14164.5,20500,11432,0.730000019,0.790000021,23.96999931,39057.95,26437,15.77000046,1041,5241,37800,31900
Florida Atlantic University,3,4,Public,Southeast,Small City,0.4773,24685,19131,22,1039,0.4638,0.1871,0.2488,0.0393,0.0015,0.0016,0.0298,0.0152,0.3694,19131,6131,7962,0.6812,0.3999,0.4105,0.765,0.2812,7.6,12500,17250,9500,0.839999974,0.649999976,23.69000053,46536.36,32086,8.210000038,669,4749,41400,37800
Texas State University,3,4,Public,Southwest,Small Suburb,0.7508,31005,19721,23,1045,0.5375,0.0709,0.3144,0.0184,0.003,0.0013,0.0296,0.0043,0.1716,19721,6379,7528,0.7345,0.3453,0.5737,0.7709,0.1514,9.4,15750,21714.5,9660,0.949999988,0.569999993,21.95000076,63447.41,48876,8.699999809,560,6451,43300,40700
Portland State University,3,4,Public,Far West,Large City,0.6117,20085,19843,0,1045,0.6232,0.0343,0.1009,0.0769,0.0147,0.0075,0.0494,0.0499,0.2992,19843,8562,8286,0.5033,0.4019,0.417,0.7303,0.411,6,18832,24568.5,14166,0.930000007,0.639999986,24.51000023,44977.8,29525.5,7.110000134,784,4591,42600,38200
Kent State University at Kent,3,4,Public,Great Lakes,Large Suburb,0.8302,22071,23995,23,1048,0.7555,0.0864,0.0283,0.0121,0.002,0.0009,0.0258,0.0579,0.1773,23995,7675,8299,0.8298,0.3443,0.5152,0.7774,0.1397,14.7,16500,26225,10500,0.939999998,0.600000024,22.36000061,61046.44,51560,6.920000076,965,8473,36100,33100
Southeast Missouri State University,3,4,Public,Great Plains,Small City,0.8546,9382,17093,23,1049,0.7879,0.1019,0.0153,0.0099,0.0051,0.0002,0.0011,0.0637,0.1631,17093,6354,6747,1,0.3558,0.4891,0.7265,0.162,11.6,14000,22459,9500,0.899999976,0.589999974,22.61000061,57993.21,47781,10.10000038,217,2344,36100,32500
The University of Texas at San Antonio,3,4,Public,Southwest,Large City,0.7327,23840,18936,23,1050,0.2772,0.0934,0.487,0.0532,0.0016,0.0018,0.0273,0.0477,0.1657,18936,6338,9272,0.7178,0.4379,0.3,0.6437,0.1915,11,16490,23723,10749,0.920000017,0.670000017,22.20000076,53600.77,38470,10.67000008,717,6912,42200,39700
Northern Arizona University,3,4,Public,Southwest,Small City,0.9137,22011,22771,23,1050,0.628,0.0325,0.1925,0.016,0.031,0.0034,0.0478,0.0424,0.1561,22771,6893,7863,0.6172,0.3778,0.4924,0.7178,0.1989,10.2,15000,21450,9500,0.910000026,0.600000024,23.62000084,61101.19,43127,10.52999973,490,3954,38900,36200
East Carolina University,3,4,Public,Southeast,Small City,0.6217,20625,19851,23,1050,0.7097,0.1562,0.051,0.026,0.0056,0.0011,0.0291,0.0042,0.1094,19851,11838,7975,0.8428,0.3211,0.5631,0.8088,0.1535,6.7,18500,23775.5,11000,0.949999988,0.540000021,21.70999908,65286.33,53731,9.399999619,452,4856,38900,35900
Wayne State University,3,4,Public,Great Lakes,Large City,0.7624,17789,20199,23,1050,0.5317,0.2136,0.0417,0.0783,0.004,0.0013,0.0262,0.025,0.3182,20199,13146,9689,0.5301,0.4804,0.3235,0.7695,0.2745,12.5,16000,21500,13500,0.879999995,0.660000026,23.45000076,44037.59,30304.5,11.52999973,726,4260,45800,36700
Boise State University,3,4,Public,Rocky Mountains,Mid-size City,0.7766,16557,18227,23,1050,0.7621,0.0157,0.0912,0.0228,0.0069,0.0042,0.03,0.0368,0.2494,18227,6777,6905,0.5643,0.3715,0.3801,0.7129,0.3182,11.4,16309,24898,11582,0.889999986,0.680000007,24.61000061,45640.12,33780.5,7.199999809,794,4723,37100,33000
Southern Illinois University-Edwardsville,3,4,Public,Great Lakes,Large Suburb,0.8419,11179,21137,23,1050,0.7457,0.1452,0.0362,0.0153,0.0023,0.0013,0.0289,0.0096,0.1463,21137,12487,7859,0.7077,0.3565,0.5041,0.693,0.1399,6,14317,22500,9500,0.910000026,0.50999999,21.54000092,64774.34,56221,7.139999866,277,3209,42200,37800
South Dakota State University,3,4,Public,Great Plains,Remote Town,0.919,10048,18547,23,1050,0.9036,0.0161,0.0181,0.0092,0.009,0.0015,0.0177,0.022,0.142,18547,7415,7451,0.8158,0.2716,0.5566,0.7589,0.1337,4.2,15269,25000,9250,0.980000019,0.479999989,20.92000008,68399.37,63089,7.090000153,191,3464,42600,38200
Ball State University,3,4,Public,Great Lakes,Small City,0.6054,15985,21101,22,1053,0.8317,0.0673,0.0348,0.0082,0.0009,0.0009,0.0195,0.0218,0.0616,21101,9700,7305,0.8249,0.3463,0.5938,0.7838,0.0715,8.1,18686,25000,9500,0.949999988,0.449999988,20.55999947,78230.63,73544,5.760000229,388,5112,37800,35800
Rutgers University-Newark,3,4,Public,Mid-Atlantic,Large City,0.5401,6748,22046,0,1059,0.257,0.1867,0.2447,0.2208,0.0012,0.0049,0.0292,0.0313,0.1369,22046,15947,12617,0.5983,0.4637,0.6752,0.7422,0.2213,5.2,19500,22250,13000,0.930000007,0.5,20.97999954,76131.15,59041,6.019999981,1048,10583,55700,50300
Georgia State University,3,4,Public,Southeast,Large City,0.5466,24128,23124,23,1060,0.3138,0.397,0.0895,0.1135,0.0017,0.0011,0.0434,0.0163,0.2429,23124,7273,7149,0.9722,0.5089,0.5315,0.8232,0.2258,8.5,17070,23000,12500,0.870000005,0.660000026,22.56999969,53412.71,38306,7.78000021,645,4915,40500,37500
West Virginia University,3,4,Public,Southeast,Small City,0.851,22130,16898,24,1062,0.8271,0.0446,0.0354,0.0158,0.0019,0.0009,0.0304,0.0409,0.0498,16898,11544,9237,0.7679,0.2663,0.5744,0.7707,0.0698,10.5,14625,23808,9500,0.930000007,0.49000001,20.42000008,78406.72,69116,9.159999847,514,5826,43600,38700
The University of West Florida,3,4,Public,Southeast,Small City,0.4808,9906,18158,24,1062,0.6741,0.1264,0.0889,0.0297,0.0073,0.0038,0.044,0.0154,0.2465,18158,5710,7392,1,0.4102,0.4232,0.7003,0.2984,9.7,12500,18334,11000,0.819999993,0.639999986,23.73999977,47671.85,34467,9.279999733,319,2217,36200,33400
University of South Alabama,3,4,Public,Southeast,Mid-size City,0.8604,11048,17125,23,1064,0.6374,0.229,0.0246,0.0337,0.0088,0.0018,0.0226,0.0284,0.2076,17125,10325,7212,0.6418,0.3743,0.3342,0.6787,0.2343,7.1,15000,25000,9500,0.899999976,0.639999986,23.69000053,45401.94,30958,12.5,413,2802,39900,34400
University of North Carolina at Charlotte,3,4,Public,Southeast,Large City,0.6852,21400,17767,23,1066,0.6135,0.1666,0.0743,0.0504,0.0038,0.0014,0.0326,0.0246,0.1447,17767,8855,8337,0.7211,0.4046,0.539,0.8038,0.1884,6.2,16500,23005,10166.5,0.920000017,0.560000002,21.90999985,64318,51983,6.769999981,435,4073,42600,38300
Kennesaw State University,3,4,Public,Southeast,Large Suburb,0.5654,22211,20630,23,1068,0.629,0.1769,0.0722,0.033,0.0022,0.0015,0.0379,0.0189,0.2486,20630,6179,6252,0.5638,0.4179,0.4338,0.7564,0.2518,8.6,15000,22500,11000,0.870000005,0.579999983,24.51000023,57729.39,41150.5,5.059999943,424,3115,39800,37200
University of Colorado Colorado Springs,3,4,Public,Rocky Mountains,Large City,0.91,8888,16707,23,1068,0.6854,0.0375,0.1412,0.0327,0.0055,0.0033,0.0577,0.0086,0.2185,16707,6820,7285,0.5355,0.3222,0.4598,0.7137,0.2405,2.7,12500,21000,8250,0.899999976,0.540000021,22.87000084,61852.58,48420,5.400000095,285,1704,41300,37300
The University of Tennessee-Chattanooga,3,4,Public,Southeast,Mid-size City,0.7757,10184,19192,23,1069,0.7411,0.1137,0.0321,0.017,0.0024,0.001,0.0777,0.0067,0.112,19192,7034,7477,0.6318,0.3527,0.3714,0.6912,0.129,8.9,11420.5,20500,7112.5,0.860000014,0.600000024,21.47999954,56874.59,43600,9.479999542,179,1865,36100,33300
SUNY College at Brockport,3,4,Public,Mid-Atlantic,Fringe Town,0.4774,7040,19511,24,1069,0.7435,0.0783,0.0477,0.0138,0.0026,0.0004,0.0199,0.0075,0.0895,19511,11538,7181,0.5687,0.4081,0.6676,0.8079,0.1577,5.6,17750,21500,17304,0.959999979,0.519999981,21.45000076,68780.73,62559,7.090000153,179,2662,39900,37600
California State Polytechnic University-Pomona,3,4,Public,Far West,Large Suburb,0.5218,20857,19402,23,1070,0.2159,0.0323,0.3722,0.2501,0.002,0.0028,0.039,0.0425,0.1186,19402,7355,9101,0.4882,0.4404,0.5237,0.8997,0.1747,3.8,15703.5,18001,11691,0.689999998,0.74000001,21.73999977,46768.74,30962,11.09000015,433,3946,48100,45000
Oakland University,3,4,Public,Great Lakes,Large Suburb,0.66,16113,19198,23,1070,0.7663,0.0827,0.0276,0.0419,0.0033,0.0012,0.0243,0.0111,0.2427,19198,7570,8482,0.5282,0.2034,0.4295,0.7814,0.206,6.2,18250,25000,12270,0.939999998,0.5,22.19000053,68721.79,56986,5.739999771,291,2518,41500,37900
University of Louisiana at Lafayette,3,4,Public,Southeast,Mid-size City,0.593,14261,15342,23,1070,0.6842,0.213,0.0316,0.0193,0.0043,0.0008,0.0158,0.022,0.1393,15342,4963,7568,0.813,0.3405,0.4482,0.7426,0.1574,9.3,13000,20898,9500,0.819999993,0.680000007,21.45999908,50339.7,35091,15.47999954,437,3486,38800,34600
University of Nebraska at Omaha,3,4,Public,Great Plains,Large City,0.7078,12153,16860,23,1070,0.7234,0.0652,0.0871,0.0267,0.0042,0.0012,0.0298,0.0315,0.2227,16860,7900,7860,0.4981,0.3252,0.4211,0.7476,0.2258,5.7,13631,21000,9200,0.910000026,0.5,21.67000008,67569.73,57671,5.360000134,220,2655,41700,38300
University of Central Arkansas,3,4,Public,Southeast,Small City,0.8997,9261,17899,23,1070,0.6656,0.1867,0.0361,0.0146,0.0057,0.0011,0.0272,0.0331,0.1106,17899,6851,6434,0.7542,0.3937,0.4203,0.6977,0.1142,10.1,11864,21617,8912,0.899999976,0.649999976,21.10000038,53694.68,39480,11.22999954,342,2713,36300,33300
University of Idaho,3,4,Public,Rocky Mountains,Fringe Rural,0.6565,8539,19700,23,1070,0.7968,0.0105,0.0837,0.0143,0.0088,0.0022,0.0309,0.0337,0.0659,19700,10938,7986,0.7886,0.3985,0.5381,0.7861,0.1375,8.3,18550,25000,12100,0.939999998,0.620000005,21.45999908,64677.72,51484,8.270000458,303,2455,41000,35800
Winona State University,3,4,Public,Great Plains,Distant Town,0.6075,8079,20449,23,1070,0.8794,0.021,0.025,0.0197,0.001,0.0007,0.0183,0.0245,0.1011,20449,6161,7570,0.6348,0.2685,0.5646,0.783,0.1162,4.4,18288,24000,9221,0.959999979,0.400000006,20.70999908,82392.18,80304,4.239999771,137,2527,41200,39000
Tennessee Technological University,3,4,Public,Southeast,Remote Town,0.9316,9827,19900,23,1071,0.8229,0.0371,0.024,0.012,0.0018,0.0004,0.023,0.0747,0.0716,19900,6916,7551,1,0.3695,0.5064,0.7458,0.1256,8.7,11000,15625,7000,0.850000024,0.620000005,21.72999954,58081.46,45109,10.13000011,208,1982,37800,34400
University of New Orleans,3,4,Public,Southeast,Large City,0.5036,6854,16212,23,1072,0.5626,0.1548,0.0988,0.0779,0.0045,0.0006,0.0274,0.0317,0.2257,16212,8079,7448,0.7303,0.3202,0.3214,0.6748,0.305,9,11750,17821,8500,0.769999981,0.74000001,22.29999924,40387.97,27630.5,14,451,3190,37600,32900
University of Colorado Denver,3,4,Public,Rocky Mountains,Large City,0.7587,10470,18822,23,1073,0.5199,0.0496,0.1547,0.0963,0.0048,0.0014,0.0337,0.0981,0.2589,18822,25568,9364,0.6723,0.2777,0.4129,0.7521,0.2507,5,16750,22995,11368,0.899999976,0.49000001,24.68000031,51853.53,36176,5.599999905,332,2205,60300,50100
The University of Tampa,3,4,Private,Southeast,Large City,0.5221,6476,37714,24,1075,0.5923,0.0576,0.12,0.0134,0.0019,0.0012,0.0236,0.1039,0.0451,37714,6103,8424,1,0.2473,0.6159,0.751,0.0725,6.7,17550.5,25975,8580,0.959999979,0.419999987,21.01000023,81805.23,66421,6.199999809,159,1426,44000,40200
University of Rhode Island,3,4,Public,New England,Large Suburb,0.7871,13008,26262,24,1076,0.693,0.0496,0.0863,0.0301,0.0025,0.0003,0.0231,0.0071,0.0984,26262,7446,9144,0.5907,0.2674,0.6344,0.8128,0.0865,7.3,19500,23250,9500,0.949999988,0.400000006,20.65999985,88579.08,78122.5,6.909999847,240,3291,49200,44600
The University of Texas at Arlington,3,4,Public,Southwest,Large City,0.5998,25415,21420,23,1077,0.3964,0.147,0.2556,0.1177,0.0029,0.0022,0.0323,0.0391,0.3741,21420,6782,8272,0.6343,0.4039,0.4041,0.7083,0.3526,7.3,12834,19608,9738,0.889999986,0.620000005,23.21999931,51136.11,36358,8.239999771,631,5991,46100,42900
University of Arkansas at Little Rock,3,4,Public,Southeast,Mid-size City,0.5274,8504,19894,24,1077,0.5514,0.2656,0.0623,0.023,0.0033,0.0004,0.0642,0.0293,0.3813,19894,7292,7480,1,0.4027,0.2438,0.6973,0.4062,10.5,14250,23000,10500,0.920000017,0.74000001,25.13999939,37463.78,26332.5,10.96000004,432,2414,34600,31600
University of California-Riverside,3,4,Public,Far West,Large City,0.62,18612,29787,23,1078,0.1442,0.0487,0.3589,0.3615,0.0016,0.0039,0.0354,0.0315,0.0223,29787,10473,11324,0.824,0.564,0.6617,0.8898,0.0473,6.1,17000,19500,10379,0.860000014,0.699999988,20.07999992,57708.66,43078.5,11.28999996,479,3984,43800,41100
Towson University,3,4,Public,Mid-Atlantic,Small City,0.6034,18534,21596,23,1078,0.6521,0.1526,0.0521,0.0478,0.0018,0.0009,0.0349,0.0203,0.1092,21596,5906,6670,0.53,0.2498,0.655,0.8603,0.1126,5.2,15750,19000,9250,0.930000007,0.409999996,20.88999939,82801.58,71279.5,4.980000019,241,3441,47700,45700
Savannah College of Art and Design,3,4,Private,Southeast,Mid-size City,0.6547,8750,49179,24,1078,0.5605,0.1086,0.0805,0.044,0.0056,0.0023,0.0023,0.1168,0.1621,49179,10302,8024,0.7974,0.2601,0.683,0.8071,0.1007,8.7,21521.5,27000,9500,0.980000019,0.419999987,20.45999908,95838.42,78907,7.019999981,224,1637,35800,29700
University of Nevada-Reno,3,4,Public,Far West,Mid-size City,0.8396,15310,21398,24,1081,0.646,0.0354,0.1631,0.0656,0.0079,0.0057,0.0598,0.0123,0.1562,21398,14946,9233,0.9281,0.2884,0.5139,0.7989,0.1501,5.1,12000,18743.5,8120,0.860000014,0.529999971,23.05999947,61238.62,45534,6.380000114,238,1968,47000,41800
Howard University,3,4,Private,Mid-Atlantic,Large City,0.493,6855,40129,24,1081,0.0134,0.9183,0.0036,0.013,0.0197,0.0039,0,0.028,0.0613,40129,22191,8566,0.7495,0.4494,0.6065,0.8154,0.086,11.6,24250,27000,15750,0.949999988,0.579999983,20.96999931,63421.37,47531,10.55000019,166,1712,46400,42400
University of Southern Mississippi,3,4,Public,Southeast,Small City,0.6631,12371,18781,24,1082,0.6095,0.3178,0.0323,0.0122,0.004,0.001,0.0167,0.0062,0.1246,18781,7858,7109,0.756,0.4644,0.4513,0.7162,0.2216,12,16600,25000,12641,0.920000017,0.699999988,22.63999939,44439.03,29062,14.43999958,487,4215,37700,33200
SUNY at Purchase College,3,4,Public,Mid-Atlantic,Large Suburb,0.3319,4017,22381,24,1082,0.5738,0.0802,0.1847,0.0324,0.002,0.0007,0.0431,0.0197,0.0543,22381,10361,7092,0.3949,0.3178,0.5971,0.824,0.0977,6.2,19750,23250,9500,0.939999998,0.5,20.61000061,78438.02,63153,8.479999542,159,1111,33800,30900
Indiana Wesleyan University,3,4,Private,Great Lakes,Distant Town,0.9515,10625,33770,24,1083,0.7624,0.1762,0.0299,0.0072,0.0037,0.001,0.016,0.0014,0.0983,33770,3954,6853,1,0.3903,0.655,0.7776,0.6919,6.1,21500,24806.5,12125,0.970000029,0.400000006,31.17000008,69016.27,61954.5,6.269999981,311,3539,51100,45100
University of Maine,3,4,Public,New England,Small Suburb,0.8106,8619,22461,24,1085,0.8119,0.0201,0.0222,0.0138,0.013,0.0002,0.0262,0.0253,0.0864,22461,10058,8755,0.6372,0.3718,0.5556,0.8066,0.0991,6.3,19200.5,27000,11000,0.959999979,0.5,20.77000046,68984.85,60423,7.789999962,217,2813,41100,36500
Arizona State University-Downtown Phoenix,3,4,Public,Southwest,Large City,0.757,8555,22909,24,1085,0.5476,0.06,0.2701,0.0456,0.0243,0.0027,0.0328,0.0116,0.1146,22909,9165,8746,0.8561,0.4245,0.4732,0.8408,0.1986,8.5,16250,20375,11000,0,0,0,0,0,0,0,0,0,0
University of Illinois at Springfield,3,4,Public,Great Lakes,Mid-size City,0.5977,2959,21385,24,1085,0.6773,0.1338,0.0595,0.0368,0.0014,0.001,0.0247,0.0291,0.3437,21385,10685,7464,0.6066,0.3677,0.4308,0.7435,0.4123,6.6,15000,19498,11129,0.889999986,0.550000012,25.20999908,54554.28,42542.5,7.53000021,68,793,42700,40000
Utah State University,3,4,Public,Rocky Mountains,Small City,0.9674,20775,16020,24,1087,0.8003,0.0103,0.0511,0.0097,0.0227,0.0024,0.0168,0.0214,0.2707,16020,8255,8206,0.9627,0.3595,0.5109,0.6577,0.239,5.7,8750,13500,6500,0.709999979,0.790000021,23.36000061,44547.68,29227,7.389999866,1096,4230,41700,37300
University of California-Santa Cruz,3,4,Public,Far West,Small City,0.5991,15695,33208,23,1087,0.368,0.0201,0.3019,0.2047,0.0017,0.0015,0.0698,0.0108,0.0237,33208,8338,12110,0.7098,0.4459,0.7267,0.8879,0.0447,5.7,16500,19737.5,11000,0.930000007,0.550000012,20.28000069,73778.36,58508,7.980000019,383,2819,42200,37800
University of Hawaii at Manoa,3,4,Public,Far West,Large City,0.8009,14097,18491,24,1087,0.1834,0.0123,0.0874,0.4042,0.0021,0.0389,0.2463,0.0238,0.1614,18491,17768,10360,0.7777,0.3086,0.5651,0.7787,0.1755,5.1,13750,19509,8250,0.850000024,0.560000002,22.32999992,54876.85,39485,7.199999809,400,2956,43100,38500
Arkansas State University-Main Campus,3,4,Public,Southeast,Small City,0.7551,9325,18809,24,1088,0.7302,0.1466,0.0203,0.0075,0.0039,0.0006,0.0166,0.0604,0.1896,18809,5002,6957,0.743,0.4618,0.3698,0.7312,0.224,14.6,13300,20959,9750,0.850000024,0.779999971,23.97999954,38618.99,27550,13.39000034,704,4120,32300,29100
Wichita State University,3,4,Public,Great Plains,Large City,0.9576,11198,14764,24,1089,0.6516,0.0597,0.0914,0.0695,0.0088,0.0016,0.0253,0.0561,0.235,14764,6594,7568,0.9223,0.3595,0.4637,0.7449,0.2883,7.8,15250,21750,11000,0.920000017,0.579999983,23.88999939,52548.32,41686,6.900000095,386,2950,39500,36400
